ListNo,ListValue,LastModified,LastModifiedBy,Entered,EnteredBy
2225,"Cross-Depo: Reporter, Interpreter",2019-11-18 11:23:39.947000,1001,2019-11-18 11:08:50.290000,1001
2242,"Arbitration: Reporter, Videographer",2019-11-18 11:23:26.530000,1001,2019-11-18 11:18:11.420000,1001
2244,"Arbitration: Reporter, Video, Interprete",2019-11-18 11:23:20.930000,1001,2019-11-18 11:18:25.020000,1001
2243,"Arbitration: Reporter, Interpreter",2019-11-18 11:23:14.627000,1001,2019-11-18 11:18:18.737000,1001
2062,Process Server,2019-11-18 11:22:54.467000,1001,2012-04-26 13:57:53.560000,1001
2051,Expedited Deposition,2019-11-18 11:22:43.390000,1001,2012-04-20 14:28:21.820000,1001
2069,Conference Room Only,2019-11-18 11:22:14.467000,1001,2012-09-13 14:36:27.700000,1001
2084,Skype/Web,2019-11-18 11:21:56.057000,1001,2014-04-25 10:48:22.463000,1001
2046,Recording,2019-11-18 11:21:39.377000,1001,2012-04-16 16:59:42.240000,1001
2045,Recording/Audio,2019-11-18 11:21:23.897000,1001,2012-04-16 16:59:32.167000,1001
2047,Board of Commissioners Meeting,2019-11-18 11:20:49.913000,1001,2012-04-16 17:00:26.343000,1001
2068,Interpreter Only,2019-11-18 11:19:21.857000,1001,2012-09-13 13:12:44.490000,1001
2027,Arbitration: Court Reporter Only,2019-11-18 11:17:34.747000,1001,2008-09-12 12:18:59.573000,1000
2239,"Hearing: Reporter, Videographer",2019-11-18 11:17:02.173000,1001,2019-11-18 11:17:02.173000,1001
2236,"Trial: Reporter, Videographer",2019-11-18 11:16:19.140000,1001,2019-11-18 11:16:19.140000,1001
2039,Video Rough ASCII Depo,2019-11-18 11:13:06.407000,1001,2010-03-10 11:35:05.327000,1001
2168,"Videographer, Videoconference & Reporter",2019-11-18 11:12:41.793000,1001,2017-09-13 12:22:05.830000,1001
2229,"Realtime: Reporter, Video, Interpreter",2019-11-18 11:11:13.167000,1001,2019-11-18 11:11:13.167000,1001
2227,"Realtime: Reporter, Videographer",2019-11-18 11:10:47.477000,1001,2019-11-18 11:10:47.477000,1001
2020,Meeting: Court Reporter Only,2019-11-18 11:09:53.170000,1001,2008-08-11 14:35:44.427000,1001
2198,VTC: Videographer,2019-11-18 11:05:53.280000,1001,2019-06-27 13:18:25.703000,1001
2196,"VTC: Reporter, Videographer",2019-11-18 11:04:46.710000,1001,2019-06-27 13:17:17.153000,1001
2195,"VTC: Reporter, Videographer, Interpreter",2019-11-18 11:04:19.240000,1001,2019-06-27 13:16:34.620000,1001
2197,"VTC: Reporter, Interpreter",2019-11-18 11:03:59.037000,1001,2019-06-27 13:18:08.517000,1001
2043,VTC: Court Reporter,2019-11-18 11:03:37.930000,1001,2010-11-04 16:31:07.200000,1001
2036,Realtime: Court Reporter Only,2019-11-18 11:03:11.483000,1001,2010-03-10 11:34:28.640000,1001
2041,Mediation: Court Reporter Only,2019-11-18 11:02:37.733000,1001,2010-07-23 12:29:43.470000,1001
2019,Hearing: Court Reporter Only,2019-11-18 11:02:25.177000,1001,2008-08-11 14:35:38.690000,1001
2040,Trial: Court Reporter Only,2019-11-18 11:02:08.537000,1001,2010-04-15 15:29:39.040000,1001
2038,Rush/Rough: Court Reporter Only,2019-11-18 11:01:40.873000,1001,2010-03-10 11:34:57.217000,1001
2021,EUO: Court Reporter Only,2019-11-18 11:01:10.433000,1001,2008-08-12 10:39:40.170000,1001
2167,"Depo: Reporter, Interpreter",2019-11-18 11:00:28.190000,1001,2017-07-07 10:10:43.543000,1001
821,Depo: Court Reporter Only,2019-11-18 10:59:29.467000,1001,2006-04-11 13:57:57.837000,1
2081,Cross-Depo: Court Reporter Only,2019-11-18 10:57:39.917000,1001,2014-02-06 13:45:17.370000,1001
2219,C-Backorder Form,2019-11-01 15:18:45.077000,26547,2019-11-01 15:17:23.390000,26547
2218,O-Backorder Form,2019-11-01 15:17:09.663000,26547,2019-11-01 15:17:09.663000,26547
2217,Backorder,2019-10-23 22:05:33.593000,1001,2019-10-23 22:05:33.593000,1001
2216,Scheduling Coordinator,2019-10-16 16:29:29.533000,1001,2019-10-16 16:29:29.533000,1001
2011,Photo - Video Only,2019-09-23 22:48:08.803000,1001,2008-07-22 10:42:54.097000,1001
1000,Copy Order,2019-09-12 10:42:43.890000,25608,2006-04-11 13:57:57.850000,1
154,Net 30,2019-09-11 20:56:17.987000,1001,2006-04-11 13:57:57.790000,1
152,Due upon receipt,2019-09-11 20:56:17.987000,1001,2006-04-11 13:57:57.790000,1
1009,Billing Sheet,2019-09-09 15:22:12.553000,1001,2006-05-23 10:08:51.620000,1
463,Sick - OFF,2019-09-05 18:28:15.677000,1001,2006-04-11 13:57:57.820000,1
464,Workload - OFF,2019-09-05 18:27:43.810000,1001,2006-04-11 13:57:57.820000,1
2042,Mental Health Day,2019-09-05 18:27:35.063000,1001,2010-11-04 16:30:31.147000,1001
461,Holiday,2019-09-05 18:27:23.690000,1001,2006-04-11 13:57:57.820000,1
460,Business,2019-09-05 18:27:17.943000,1001,2006-04-11 13:57:57.820000,1
462,Personal - OFF,2019-09-05 18:26:30.550000,1001,2006-04-11 13:57:57.820000,1
465,On Call,2019-09-05 18:17:37.480000,1001,2006-04-11 13:57:57.820000,1
2215,Light,2019-09-05 18:15:39.670000,1001,2019-09-05 18:15:39.670000,1001
2214,Light or OFF,2019-09-05 18:15:31.870000,1001,2019-09-05 18:15:31.870000,1001
2152,Errata - Late-Filed Executed Errata,2019-08-23 17:25:45.203000,1001,2015-08-28 12:22:00.153000,1001
2151,Errata - Executed Errata,2019-08-23 17:25:32.270000,1001,2015-08-10 09:31:42.780000,1001
1015,ASCII,2019-08-23 17:25:18.280000,1001,2013-10-21 20:32:27.387000,1
2153,Affiliate Worksheet,2019-08-23 17:21:00.023000,1001,2015-09-01 17:17:47.140000,1001
2150,"All Transcript Files (+Exhibits, if any)",2019-08-23 17:16:53.603000,1001,2015-08-10 09:30:58.450000,1001
2213,Parking Receipt,2019-08-22 10:29:23.500000,1001,2019-08-22 10:29:23.500000,1001
2212,Videoconference,2019-08-06 20:22:58.410000,1001,2019-08-06 20:22:58.410000,1001
2211,Interpreter,2019-08-06 20:22:45.720000,1001,2019-08-06 20:22:45.720000,1001
2210,Generic,2019-08-06 14:59:35.723000,1001,2019-08-06 14:59:35.723000,1001
2209,Discovery,2019-08-06 14:41:30.960000,1001,2019-08-06 14:41:16.373000,1001
2208,Court - Standard,2019-08-03 14:24:50.320000,1001,2019-08-03 14:24:50.320000,1001
2207,Court - Split Takedown,2019-08-03 14:24:33.620000,1001,2019-08-03 14:17:48.040000,1001
2159,Affiliate - NPA,2019-08-03 14:21:32.990000,1001,2016-12-31 12:57:51.797000,1001
2064,Case Caption,2019-08-03 13:27:45.313000,1001,2012-05-15 11:06:22.030000,1001
2016,Errata - Blank Errata,2019-07-31 21:07:58.970000,1001,2008-07-24 16:09:28.080000,1001
2161,Rough ASCII - Non-Certified Transcript,2019-07-31 14:22:18.047000,1001,2017-02-21 16:04:44.127000,1001
2048,Notice-Amended/Subpoena/Letter/Caption,2019-07-31 13:53:09.143000,1001,2012-04-19 16:26:05.390000,1001
1001,Delivery Receipt,2019-07-31 13:50:00.100000,1001,2006-04-11 13:57:57.850000,1
1008,Other,2019-07-31 13:41:18.427000,1001,2006-04-11 13:57:57.850000,1
2049,Subpoena,2019-07-31 13:39:10.320000,1001,2012-04-19 16:26:15.383000,1001
2024,Exhibit Binder,2019-07-31 13:29:44.710000,1001,2008-08-27 15:21:22.953000,1001
2135,Orders,2019-07-31 13:22:17.993000,1001,2015-03-02 14:11:58.750000,1001
1004,Glossary,2019-07-31 13:21:51.940000,1001,2006-04-11 13:57:57.850000,1
1003,Front Page,2019-07-31 13:21:40.500000,1001,2006-04-11 13:57:57.850000,1
2002,E-Transcript,2019-07-31 13:21:28.207000,1001,2008-07-18 22:33:45.477000,1
2013,AMICUS,2019-07-31 13:20:44.437000,1001,2008-07-22 10:43:25.597000,1001
2012,Video-1,2019-07-31 13:20:15.473000,1001,2008-07-22 10:43:00.183000,1001
1002,Exhibit-1,2019-07-31 13:20:06.680000,1001,2006-04-11 13:57:57.850000,1
2070,Process Server,2019-07-31 13:10:18.590000,1001,2012-09-13 14:36:58.703000,1001
2205,EGCR Courier - Bill Collier,2019-07-31 13:09:13.443000,1001,2019-07-31 13:09:13.443000,1001
2155,Word - Rich Text Format,2019-07-31 12:58:50.270000,1001,2016-08-18 16:05:20.673000,1001
1017,Video,2019-07-31 12:58:26.063000,1001,2013-10-21 20:32:27.573000,1
2014,Summation File,2019-07-31 12:58:15.950000,1001,2008-07-22 10:43:33.970000,1001
2163,Service Documents,2019-07-31 12:58:03.977000,1001,2017-03-16 09:46:39.113000,1001
1010,PDF Transcript,2019-07-31 12:57:52.877000,1001,2008-02-27 14:30:33.773000,1
1011,PDF Transcript w/ Exhibits,2019-07-31 12:57:45.503000,1001,2008-02-27 14:30:51.290000,1
2015,Letter,2019-07-31 12:57:06.960000,1001,2008-07-22 10:44:13.347000,1001
1007,Invoice,2019-07-31 12:56:57.187000,1001,2006-04-11 13:57:57.850000,1
2164,ASCII Backup- NOT FOR WORD LISTS,2019-07-31 12:49:04.840000,1001,2017-06-06 12:05:05.110000,1001
2079,,2019-07-31 12:48:26.510000,1001,2013-10-22 15:26:00.813000,1001
2204,Access Change,2019-07-18 14:27:20.173000,25608,2019-07-18 14:27:20.173000,25608
2203,Email Change,2019-07-18 14:21:49.443000,25608,2019-07-18 14:21:49.443000,25608
2202,Statements,2019-07-18 14:18:03.757000,1001,2019-07-18 14:18:03.757000,1001
2201,Collections,2019-07-18 14:15:38.223000,1001,2019-07-18 14:15:38.223000,1001
2200,VTC ONLY,2019-06-27 13:19:19.003000,1001,2019-06-27 13:19:19.003000,1001
2193,CNA - Certificate of Non-Appearance,2019-06-27 12:45:23.487000,1001,2019-06-27 12:42:28.857000,1001
2194,Cancel,2019-06-27 12:44:42.427000,1001,2019-06-27 12:43:18.490000,1001
2192,Videography,2019-06-27 12:36:53.663000,1001,2019-06-27 12:36:53.663000,1001
2191,Takedown,2019-06-27 12:36:13.643000,1001,2019-06-27 12:36:13.643000,1001
2190,Interpreting,2019-06-27 12:35:48.123000,1001,2019-06-27 12:35:48.123000,1001
1102,CART,2019-06-27 12:35:20.823000,1001,2006-04-11 13:57:57.850000,1
2189,Deposition - Copy,2019-06-27 12:33:33.170000,1001,2019-06-27 12:33:33.170000,1001
1105,Deposition - Original,2019-06-27 12:33:23.600000,1001,2006-04-11 13:57:57.850000,1
855,Conference Room | Location Fee,2019-06-11 21:51:43.150000,1001,2018-11-01 10:14:33.337000,1
2184,Court Reporter | Realtime | Rough | Rush,2019-06-11 21:50:59.293000,1001,2019-06-11 21:49:27.567000,1001
2182,Partially Shipped,2019-06-08 23:51:11.883000,1001,2019-06-08 23:49:34.220000,1001
2180,Interpreter,2019-06-08 21:51:11.377000,1001,2019-06-08 21:51:11.377000,1001
2179,Backorder,2019-06-07 11:21:41.720000,1001,2019-06-07 11:21:41.720000,1001
2176,USPS,2019-06-06 22:37:29.190000,1,2019-06-06 22:37:29.190000,1
852,Videographer,2019-06-06 19:51:39.203000,1001,2018-10-26 01:30:02.240000,1
850,Undefined,2019-06-06 19:51:24.893000,1001,2018-10-26 01:30:02.233000,1
2177,Court Reporter,2019-06-06 19:51:24.893000,1001,2019-06-06 19:51:07.890000,1001
1130,,2018-10-26 01:30:02.447000,1,2018-10-26 01:30:02.447000,1
2037,Video Realtime Depo,2018-10-05 12:32:02.483000,1001,2010-03-10 11:34:40.717000,1001
2175,Split Invoice,2018-07-26 15:52:51.560000,1001,2018-07-26 15:52:51.560000,1001
2174,Split Invoice,2018-07-26 15:49:01.387000,1001,2018-07-26 15:49:01.387000,1001
2173,15-Day Pay,2018-02-02 09:46:14.977000,1001,2018-02-02 09:46:14.977000,1001
2010,Employee with bonus,2018-02-02 09:17:39.130000,1001,2008-07-21 14:55:23.740000,1001
2170,Videoconference & Zoom,2018-01-05 12:23:26.993000,1001,2018-01-05 12:23:26.993000,1001
2165,Videographer ONLY,2017-07-07 10:08:53.730000,1001,2017-07-07 10:08:53.730000,1001
2162,Independent Contractor - Tier 3 Rates,2017-02-22 17:35:49.097000,1001,2017-02-22 17:35:49.097000,1001
1203,Email,2017-01-20 12:43:37.693000,1001,2006-04-11 13:57:57.850000,1
2160,Affiliate,2017-01-10 11:28:04.897000,1001,2017-01-10 11:28:04.897000,1001
2134,ISSUES,2016-12-31 12:57:17.703000,1001,2015-02-27 16:38:15.503000,1001
2157,Electronic Transfer,2016-09-16 12:02:59.287000,1001,2016-09-16 12:02:59.287000,1001
814,Request Confirm,2015-11-04 00:02:01.490000,1,2015-11-04 00:02:01.490000,1
2034,Accurate Reporting,2015-06-30 17:40:33.093000,1001,2009-01-14 10:23:41.467000,1001
2146,BAD DEBT - WRITTEN OFF,2015-06-24 17:07:41.777000,1014,2015-06-24 17:07:41.777000,1014
2145,Marketing - Sales Calls,2015-06-24 15:07:12.910000,1014,2015-06-24 15:07:12.910000,1014
2144,Firm Changed,2015-06-24 15:06:40.780000,1014,2015-06-24 15:06:40.780000,1014
2143,BAD DEBT - WRITTEN OFF,2015-06-24 15:05:51.083000,1014,2015-06-24 15:05:51.083000,1014
2142,Tenant,2015-06-10 10:45:46.163000,1014,2015-06-10 10:45:46.163000,1014
2140,Doctor / Hospital,2015-06-04 15:59:04.290000,1014,2015-06-04 15:59:04.290000,1014
2138,Likes/Dislikes,2015-03-26 09:15:24.163000,1001,2015-03-26 09:15:24.163000,1001
2137,Orders Preference,2015-03-23 14:43:00.880000,1001,2015-03-23 14:43:00.880000,1001
2112,Goody Bags,2015-03-23 14:43:00.880000,1001,2015-01-16 14:34:28.570000,1014
2136,Court Reporting Firm,2015-03-04 12:07:52.717000,1001,2015-03-04 12:07:52.717000,1001
2133,Court Reporter Order Information,2015-02-25 09:29:23.837000,1001,2015-02-25 09:29:23.837000,1001
2132,Daily,2015-02-19 10:50:09.077000,1001,2015-02-19 10:50:09.077000,1001
2131,Flat Fee,2015-02-19 10:50:00.723000,1001,2015-02-19 10:50:00.723000,1001
2130,Pro Se,2015-02-10 13:55:21.230000,1001,2015-02-10 13:55:21.230000,1001
2129,Quotes,2015-01-30 12:11:37.643000,1001,2015-01-30 12:11:37.643000,1001
2128,Payment Status,2015-01-27 11:18:42.767000,1001,2015-01-27 11:18:42.767000,1001
2127,Quotes,2015-01-27 11:18:14.453000,1001,2015-01-27 11:18:14.453000,1001
2124,Contact Added - Edited,2015-01-21 12:22:09.063000,1014,2015-01-21 12:20:35.097000,1014
2123,USER ID / PASSWORD,2015-01-19 16:35:24.880000,1001,2015-01-19 16:35:24.880000,1001
2103,Received Checklist,2015-01-19 15:28:19.480000,1001,2015-01-15 13:15:33.757000,1001
1300,Transcript,2015-01-19 15:28:16.053000,1001,2008-02-27 14:29:26.773000,1
2122,ReporterBase,2015-01-16 17:03:30.930000,1014,2015-01-16 17:03:30.930000,1014
2121,To Resource,2015-01-16 15:05:05.173000,1014,2015-01-16 15:05:05.173000,1014
2111,Marketing,2015-01-16 15:04:28.580000,1014,2015-01-16 14:32:35.457000,1014
2108,,2015-01-16 15:04:28.580000,1014,2015-01-15 13:50:24.690000,1
2120,On Discount Net 15 For 5,2015-01-16 15:02:51.757000,1014,2015-01-16 15:02:51.757000,1014
2119,Office Manager,2015-01-16 15:01:15.063000,1014,2015-01-16 15:01:15.063000,1014
2118,Officer Manager,2015-01-16 15:00:53.510000,1014,2015-01-16 15:00:53.510000,1014
2117,Attorney,2015-01-16 15:00:19.620000,1014,2015-01-16 15:00:19.620000,1014
2115,Sales Calls,2015-01-16 14:35:21.920000,1014,2015-01-16 14:35:21.920000,1014
2114,Birthdays,2015-01-16 14:35:04.757000,1014,2015-01-16 14:35:04.757000,1014
2113,Invoices,2015-01-16 14:34:44.783000,1014,2015-01-16 14:34:44.783000,1014
2106,,2015-01-16 14:34:28.570000,1014,2015-01-15 13:50:24.483000,1
2110,,2015-01-15 13:50:24.890000,1,2015-01-15 13:50:24.890000,1
2109,,2015-01-15 13:50:24.787000,1,2015-01-15 13:50:24.787000,1
2107,,2015-01-15 13:50:24.583000,1,2015-01-15 13:50:24.583000,1
2104,,2015-01-15 13:50:24.307000,1,2015-01-15 13:50:24.307000,1
2101,Operations Manager,2015-01-09 13:04:56.550000,1001,2015-01-09 13:04:56.550000,1001
603,Staff,2015-01-09 13:04:30.830000,1001,2006-04-11 13:57:57.820000,1
602,Manager,2015-01-09 13:04:28.133000,1001,2006-04-11 13:57:57.820000,1
601,Director,2015-01-09 13:04:23.787000,1001,2006-04-11 13:57:57.820000,1
2031,Business Development Coordinator,2015-01-09 13:04:20.050000,1001,2008-12-29 19:13:48.720000,1001
2100,Calendar Manager,2015-01-09 13:04:07.090000,1001,2015-01-09 13:04:07.090000,1001
2099,Transcript Production Manager,2015-01-09 13:03:57.900000,1001,2015-01-09 13:03:57.900000,1001
2098,Video Production Manager,2015-01-09 13:03:49.993000,1001,2015-01-09 13:03:49.993000,1001
2097,Transcript Detail Manager,2015-01-09 13:03:42.220000,1001,2015-01-09 13:03:42.220000,1001
2096,Client Liaison,2015-01-09 13:02:32.553000,1001,2015-01-09 13:02:32.553000,1001
2095,Expert Witness,2014-12-05 13:36:02.880000,1001,2014-12-05 13:36:02.880000,1001
2094,Administrator,2014-12-05 13:35:53.753000,1001,2014-12-05 13:35:53.753000,1001
900,Call,2014-10-06 13:29:27.970000,1001,2006-04-11 13:57:57.837000,1
902,Fax,2014-10-06 13:29:14.827000,1001,2006-04-11 13:57:57.837000,1
901,Email,2014-10-06 13:29:12.140000,1001,2006-04-11 13:57:57.837000,1
2089,Scheduling,2014-10-06 13:29:03.577000,1001,2014-09-03 11:34:30.977000,1001
2093,Marketing,2014-10-06 13:28:51.903000,1001,2014-10-06 13:28:51.903000,1001
313,Mr.,2014-09-25 11:45:30.330000,1001,2006-04-11 13:57:57.803000,1
310,,2014-09-25 11:45:30.330000,1001,2006-04-11 13:57:57.803000,1
330,,2014-09-25 11:45:24.190000,1001,2006-04-11 13:57:57.803000,1
332,Male,2014-09-25 11:45:24.190000,1001,2006-04-11 13:57:57.803000,1
302,Attorney,2014-09-18 13:09:06.567000,1014,2006-04-11 13:57:57.803000,1
300,,2014-09-18 13:09:06.567000,1014,2006-04-11 13:57:57.803000,1
331,Female,2014-09-18 13:08:26.113000,1014,2006-04-11 13:57:57.803000,1
2080,Hotel / Conference Center,2014-09-18 13:07:56.833000,1014,2014-01-15 14:55:11.700000,1001
218,Legal Public Sector,2014-09-18 13:07:20.503000,1014,2006-04-11 13:57:57.790000,1
2092,Legal Assistant,2014-09-18 13:06:38.550000,1014,2014-09-18 13:06:38.550000,1014
2091,Legal Assistant,2014-09-18 13:06:17.613000,1014,2014-09-18 13:06:17.613000,1014
2090,Production,2014-09-03 11:34:37.370000,1001,2014-09-03 11:34:37.370000,1001
2088,Billing,2014-09-03 11:34:26.430000,1001,2014-09-03 11:34:26.430000,1001
2087,Paralegal,2014-08-29 10:40:35.140000,1001,2014-08-29 10:40:35.140000,1001
2086,Associate,2014-08-29 10:40:21.910000,1001,2014-08-29 10:40:21.910000,1001
206,Law Firm,2014-08-29 10:39:48.473000,1001,2006-04-11 13:57:57.790000,1
200,,2014-08-29 10:39:48.460000,1001,2006-04-11 13:57:57.790000,1
2085,Typist/Transcriber,2014-06-13 17:00:48.993000,1001,2014-06-13 17:00:48.993000,1001
2082,Rough ASCII Arbitration,2014-03-05 14:23:32.257000,1001,2014-03-05 14:23:32.257000,1001
1016,Exhibit,2013-10-22 15:26:09.720000,1001,2013-10-21 20:32:27.473000,1
2077,Document Dropoff Only,2013-06-04 13:44:07.653000,1001,2013-06-04 13:43:32.747000,1001
2078,Document Dropoff with Record Made By CR,2013-06-04 13:43:47.900000,1001,2013-06-04 13:43:47.900000,1001
2075,Affiliate Firm,2013-02-07 12:05:34.410000,1001,2013-02-07 12:05:34.410000,1001
2074,ECGR Conference Room - Small,2013-02-07 12:02:16.340000,1001,2013-02-07 12:02:16.340000,1001
2073,ECGR Conference Room - Small - VTC Room,2013-02-07 12:02:01.687000,1001,2013-02-07 12:02:01.687000,1001
2072,ECGR Conference Room - Large - VTC Room,2013-02-07 12:01:55.367000,1001,2013-02-07 12:01:55.367000,1001
2071,EGCR Satellite Office,2013-02-07 12:01:10.813000,1001,2013-02-07 12:01:10.813000,1001
510,,2012-12-03 10:20:18.383000,1,2012-12-03 10:20:18.383000,1
360,,2012-12-03 10:20:17.983000,1,2012-12-03 10:20:17.983000,1
269,,2012-12-03 10:20:17.830000,1,2012-12-03 10:20:17.830000,1
2065,Hotel,2012-05-15 12:28:14.500000,1001,2012-05-15 12:28:14.500000,1001
2063,Pro Se,2012-05-15 10:31:29.110000,1001,2012-05-15 10:31:29.110000,1001
2057,Realtime Depo (Includes Rough),2012-04-23 17:17:03.480000,1001,2012-04-23 17:15:11.367000,1001
708,Video Conferencing,2012-04-23 17:16:48.063000,1001,2006-04-11 13:57:57.837000,1
2061,Trial,2012-04-23 17:15:59.437000,1001,2012-04-23 17:15:59.437000,1001
2060,Taped Transcription,2012-04-23 17:15:47.597000,1001,2012-04-23 17:15:47.597000,1001
2059,Rough ASCII Depo,2012-04-23 17:15:34.220000,1001,2012-04-23 17:15:34.220000,1001
2058,Recording,2012-04-23 17:15:22.847000,1001,2012-04-23 17:15:22.847000,1001
2056,Meeting,2012-04-23 17:14:58.457000,1001,2012-04-23 17:14:58.457000,1001
2055,Mediation,2012-04-23 17:14:46.183000,1001,2012-04-23 17:14:46.183000,1001
2054,Examination Under Oath,2012-04-23 17:14:22.867000,1001,2012-04-23 17:14:22.867000,1001
2053,Depo - Expedite,2012-04-23 17:14:08.290000,1001,2012-04-23 17:14:08.290000,1001
2052,Board of Commissioners Meeting,2012-04-23 17:13:49.957000,1001,2012-04-23 17:13:49.957000,1001
846,Marketing-Sales Rep,2012-04-16 17:01:10.113000,1001,2006-04-11 13:57:57.837000,1
845,Marketing-Publication,2012-04-16 17:01:07.177000,1001,2006-04-11 13:57:57.837000,1
844,Marketing-Press Release,2012-04-16 17:01:03.937000,1001,2006-04-11 13:57:57.837000,1
843,Marketing-Other,2012-04-16 17:00:55.810000,1001,2006-04-11 13:57:57.837000,1
842,Marketing-Mail,2012-04-16 17:00:52.083000,1001,2006-04-11 13:57:57.837000,1
841,Marketing-Event,2012-04-16 17:00:49.350000,1001,2006-04-11 13:57:57.837000,1
921,Gift Certificate,2010-05-10 16:11:29.187000,1001,2008-02-27 14:31:05.303000,1
813,Back Order,2010-03-12 19:40:30.727000,1,2010-03-12 19:40:30.727000,1
184,Online Payment,2009-10-22 10:43:59.657000,1,2009-10-22 10:43:59.657000,1
63,Cancelled,2009-01-07 10:38:43.380000,1,2009-01-07 10:38:43.380000,1
62,Denied,2009-01-07 10:38:43.300000,1,2009-01-07 10:38:43.300000,1
61,Approved,2009-01-07 10:38:43.270000,1,2009-01-07 10:38:43.270000,1
60,Pending,2009-01-07 10:38:43.237000,1,2009-01-07 10:38:43.237000,1
52,Good,2009-01-07 10:38:39.910000,1,2009-01-07 10:38:39.910000,1
53,Fanatical,2009-01-07 10:38:39.910000,1,2009-01-07 10:38:39.910000,1
51,Average,2009-01-07 10:38:39.893000,1,2009-01-07 10:38:39.893000,1
50,Unsatisfactory,2009-01-07 10:38:39.880000,1,2009-01-07 10:38:39.880000,1
42,Closed,2009-01-07 10:38:39.863000,1,2009-01-07 10:38:39.863000,1
43,Solved,2009-01-07 10:38:39.863000,1,2009-01-07 10:38:39.863000,1
41,Pending Customer Response,2009-01-07 10:38:39.847000,1,2009-01-07 10:38:39.847000,1
40,Awaiting Response,2009-01-07 10:38:39.830000,1,2009-01-07 10:38:39.830000,1
2008,Independent Contractor,2009-01-03 19:37:05.400000,1001,2008-07-21 14:55:08.160000,1001
2009,Employee,2009-01-03 19:37:05.400000,1001,2008-07-21 14:55:15.723000,1001
2032,Client Solutions Manager,2009-01-03 17:01:43.470000,1001,2009-01-03 17:01:43.470000,1001
2030,Affiliate Rates,2008-12-08 13:33:13.870000,1001,2008-12-08 13:33:13.870000,1001
2026,Scopist,2008-09-10 18:29:57.663000,1001,2008-09-10 18:29:57.663000,1001
2025,Proofreader,2008-09-10 18:29:52.227000,1001,2008-09-10 18:29:52.227000,1001
140,Affiliate,2008-08-29 13:51:31.730000,1001,2006-04-11 13:57:57.790000,1
350,,2008-08-12 10:40:19.077000,1001,2006-04-11 13:57:57.803000,1
356,Normal,2008-08-12 10:40:19.077000,1001,2006-04-11 13:57:57.803000,1
820,,2008-08-11 14:35:30.143000,1001,2006-04-11 13:57:57.837000,1
2017,4-Day,2008-07-28 16:12:55.400000,1001,2008-07-28 16:12:55.400000,1001
702,CART,2008-07-18 22:51:11.810000,1,2006-04-11 13:57:57.837000,1
701,Captioning,2008-07-18 22:51:05.500000,1,2006-04-11 13:57:57.837000,1
2005,EGCR Conference Room - ATL,2008-07-18 22:43:16.730000,1,2008-07-18 22:43:16.730000,1
434,Semimonthly,2008-07-18 22:34:50.430000,1,2006-04-11 13:57:57.820000,1
2001,No exceptions for third-party payments,2008-07-18 22:30:22.803000,1,2008-07-18 22:30:11.820000,1
930,Birthday,2008-02-27 14:31:38.523000,1,2008-02-27 14:31:38.523000,1
1354,Originals Destroyed,2008-02-27 14:29:26.790000,1,2008-02-27 14:29:26.790000,1
1301,Video,2008-02-27 14:29:26.773000,1,2008-02-27 14:29:26.773000,1
1310,Archive Path 1,2008-02-27 14:29:26.773000,1,2008-02-27 14:29:26.773000,1
1311,Archive Path 2,2008-02-27 14:29:26.773000,1,2008-02-27 14:29:26.773000,1
1312,Archive Path 3,2008-02-27 14:29:26.773000,1,2008-02-27 14:29:26.773000,1
1313,Archive Path 4,2008-02-27 14:29:26.773000,1,2008-02-27 14:29:26.773000,1
1314,Archive Path 5,2008-02-27 14:29:26.773000,1,2008-02-27 14:29:26.773000,1
1320,,2008-02-27 14:29:26.773000,1,2008-02-27 14:29:26.773000,1
1321,High,2008-02-27 14:29:26.773000,1,2008-02-27 14:29:26.773000,1
1322,Mid,2008-02-27 14:29:26.773000,1,2008-02-27 14:29:26.773000,1
1323,Low,2008-02-27 14:29:26.773000,1,2008-02-27 14:29:26.773000,1
1330,,2008-02-27 14:29:26.773000,1,2008-02-27 14:29:26.773000,1
1331,CD,2008-02-27 14:29:26.773000,1,2008-02-27 14:29:26.773000,1
1332,DVD,2008-02-27 14:29:26.773000,1,2008-02-27 14:29:26.773000,1
1333,Tape,2008-02-27 14:29:26.773000,1,2008-02-27 14:29:26.773000,1
1340,,2008-02-27 14:29:26.773000,1,2008-02-27 14:29:26.773000,1
1341,High,2008-02-27 14:29:26.773000,1,2008-02-27 14:29:26.773000,1
1342,Mid,2008-02-27 14:29:26.773000,1,2008-02-27 14:29:26.773000,1
1343,Low,2008-02-27 14:29:26.773000,1,2008-02-27 14:29:26.773000,1
1350,,2008-02-27 14:29:26.773000,1,2008-02-27 14:29:26.773000,1
1351,Pending,2008-02-27 14:29:26.773000,1,2008-02-27 14:29:26.773000,1
1352,Archived Here,2008-02-27 14:29:26.773000,1,2008-02-27 14:29:26.773000,1
1353,Originals Sent To,2008-02-27 14:29:26.773000,1,2008-02-27 14:29:26.773000,1
1205,Post,2006-04-11 13:57:57.850000,1,2006-04-11 13:57:57.850000,1
1206,UPS,2006-04-11 13:57:57.850000,1,2006-04-11 13:57:57.850000,1
1207,Web,2006-04-11 13:57:57.850000,1,2006-04-11 13:57:57.850000,1
1005,Notice,2006-04-11 13:57:57.850000,1,2006-04-11 13:57:57.850000,1
